season,game_id,game_date,home_team,away_team,home_pts,away_pts,label,elo_diff,net_rtg_diff,off_rtg_diff,def_rtg_diff,pace_diff,pythagorean_diff,log5_prob,efg_pct_diff,tov_pct_diff,oreb_pct_diff,ft_rate_diff,three_pt_rate_diff,three_pt_pct_diff,ts_pct_diff,ast_pct_diff,stl_pct_diff,blk_pct_diff,team_10d_net_rtg_diff,team_10d_off_rtg_diff,momentum_diff,rest_days_diff,b2b_home,b2b_away,travel_tz_shift_home,travel_tz_shift_away,is_home,altitude_factor,star_player_impact_diff,injury_impact_diff,lineup_net_rtg_diff,bench_net_rtg_diff,clutch_net_rtg_diff,h2h_season_record,vegas_home_prob,mc_win_pct
2018-19,0021800284,2018-11-24,MIL,SAS,135.0,129.0,1,169.23,0.495,5.569,5.074,6.08,0.006,0.7222,0.0664,0.0245,-0.0473,-0.0222,0.1671,-0.0234,0.0522,0.0326,0.5515,1.684,6.86,9.549,6.365,0,1,1,0,1,1,0.0,0.0,0.0,0.248,0.0,0.0,0.5,0.0,0.6702
2018-19,0021800280,2018-11-24,WAS,NOP,124.0,114.0,1,-121.95,-6.402,-5.49,0.912,-1.486,-0.0204,0.3103,-0.0211,-0.0041,-0.0337,0.025,0.0742,-0.0382,-0.0139,-0.0304,1.5008,0.5775,-4.8,-4.102,1.603,0,1,1,0,1,1,0.0,0.0,0.0,-3.201,0.0,0.0,0.5,0.0,0.3892
2018-19,0021800282,2018-11-24,OKC,DEN,98.0,105.0,0,51.29,3.224,-2.682,-5.907,3.921,0.0195,0.5385,-0.0214,-0.0043,0.0188,0.0276,-0.0012,-0.0112,-0.021,-0.114,1.6227,0.3468,8.209,-1.564,4.985,0,1,1,0,1,1,0.0,0.0,0.0,1.612,0.0,0.0,0.5,0.0,0.6522
2018-19,0021800285,2018-11-24,GSW,SAC,117.0,116.0,1,3.96,3.711,6.332,2.621,-4.456,0.0121,0.5977,0.0227,0.0031,-0.0112,0.0034,0.0277,0.0017,0.0357,0.0888,-0.6746,1.9926,-2.14,2.224,-5.851,-2,1,0,0,1,1,0.0,0.0,0.0,1.856,0.0,0.0,0.5,0.0,0.6296
2018-19,0021800291,2018-11-25,MEM,NYK,98.0,103.0,0,185.28,1.344,-0.907,-2.251,-4.669,0.0025,0.8235,0.0183,-0.0062,-0.0809,0.0317,0.0107,0.0334,0.0171,0.1529,1.8097,0.0535,0.809,-3.591,-0.536,0,0,0,0,1,1,0.0,0.0,0.0,0.672,0.0,0.0,0.5,0.0,0.6899
2018-19,0021800289,2018-11-25,BKN,PHI,125.0,127.0,0,-91.56,9.895,0.532,-9.363,-4.475,0.0221,0.2909,-0.0067,-0.0134,0.0719,-0.0727,0.0264,0.0015,-0.0196,-0.0649,0.3233,-0.9638,10.679,-1.701,0.784,0,0,0,0,1,1,0.0,0.0,0.0,4.948,0.0,0.0,0.5,0.0,0.6436
2018-19,0021800293,2018-11-25,POR,LAC,100.0,104.0,0,-20.01,0.033,-0.884,-0.917,-2.786,-0.0005,0.4615,-0.0078,0.0052,0.0383,-0.0749,0.0667,-0.0167,-0.0167,-0.0417,0.7103,-0.8042,-2.109,-4.99,-2.141,0,0,0,0,1,1,0.0,0.0,0.0,0.016,0.0,0.0,0.5,0.0,0.5571
2018-19,0021800290,2018-11-25,TOR,MIA,125.0,115.0,1,245.93,7.095,8.777,1.683,-0.747,0.0329,0.8627,0.0493,-0.0083,-0.0277,-0.0573,0.0013,-0.0163,0.048,0.0107,1.9269,-1.3125,9.794,10.875,2.699,0,0,0,0,1,1,0.0,0.0,0.0,3.547,0.0,0.0,0.5,0.0,0.7941
2018-19,0021800292,2018-11-25,SAC,UTA,112.0,133.0,0,44.28,0.646,3.694,3.049,5.175,0.003,0.6044,0.0225,-0.0139,0.0034,-0.0862,-0.0791,0.0666,0.0092,-0.054,-0.5373,-1.1979,-0.1,4.258,-0.745,-1,1,0,0,1,1,0.0,0.0,0.0,0.323,0.0,0.0,0.5,0.0,0.6083
2018-19,0021800286,2018-11-25,LAL,ORL,104.0,108.0,0,114.59,3.8,3.054,-0.746,5.567,0.0095,0.6358,0.0232,0.0124,-0.0001,0.0406,-0.0342,0.0209,0.0209,-0.099,0.855,0.134,-1.304,-3.131,-5.103,0,0,0,0,1,1,0.0,0.0,0.0,1.9,0.0,0.0,0.5,0.0,0.6957
